Year,January,February,March,April,May,June,July,August,September,October,November,December
2024,5.1,5.1,4.9,4.8,4.8,5.1,3.5,3.7,,,,
2023,6.5,6.4,5.7,4.7,4.3,4.9,7.4,6.8,5.0,4.9,5.6,5.7
2022,6.0,6.1,7.0,7.8,7.0,7.0,6.7,7.0,7.4,6.8,5.9,5.7
2021,4.1,5.0,5.5,4.2,6.3,6.3,5.6,5.3,4.3,4.5,4.9,5.7
2020,7.6,6.6,5.8,7.2,6.3,6.2,6.7,6.7,7.3,7.6,6.9,4.6
2019,2.0,2.6,2.9,3.0,3.0,3.2,3.1,3.3,4.0,4.6,5.5,7.4
2018,5.1,4.4,4.3,4.6,4.9,4.9,4.2,3.7,3.7,3.4,2.3,2.1
2017,3.2,3.7,3.9,3.0,2.2,1.5,2.4,3.3,3.3,3.6,4.9,5.2
2016,5.7,5.3,4.8,5.5,5.8,5.8,6.1,5.0,4.4,4.2,3.6,3.4
2015,5.2,5.4,5.3,4.9,5.0,5.4,3.7,3.7,4.4,5.0,5.4,5.6
2014,8.6,7.9,8.2,8.5,8.3,6.8,7.4,7.0,5.6,4.6,3.3,4.3
2013,10.7,10.4,10.4,9.4,9.1,9.1,11.3,10.6,9.7,9.7,9.6,9.9
2012,7.6,8.6,9.4,9.5,10.2,10.0,9.8,10.1,9.7,9.8,10.2,9.9
2011,9.5,8.8,9.0,9.4,8.9,9.2,8.4,8.7,10.1,10.0,9.4,9.4
2010,16.2,16.2,14.9,13.1,13.9,13.7,11.3,9.9,9.8,10.1,9.3,9.4
2009,9.7,9.8,9.6,8.4,10.2,9.3,11.7,11.6,11.6,11.5,11.3,13.6
2008,6.2,6.6,7.9,8.0,9.1,9.3,11.8,12.1,12.1,10.7,10.4,9.7
